Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Bubble1	Bubble2	Bubble3	WT4d_1	WT4d_2	WT4d_3	TF	deM_TF	BLAST.Hit	Trinotate.Descr	Emapper.Annotation
NV2.10185	2656.33253950358	1.55489184128416	0.0598397330938144	9.2729665156464	1.81039273350258e-20	4.03750199259967e-19	3952.92343930535	3984.52784143111	4148.18702351691	1040.1014673599	1032.94172702063	998.810397344179	*	bZIP_1,bZIP_2,bZIP_Maf	cAMP responsive element binding protein 3-like 2 [Mus musculus]	Cyclic AMP-responsive element-binding protein 3-like protein 2;	NA
NV2.10359	300.617632205051	9.57071783329724	0.525468478722062	16.3106221978171	8.29435550441933e-60	5.6837860349315e-58	1287.91991756816	1245.53388821032	1300.80883643115	1.00492895397092	0	2.78026554584323	NA	bZIP_Maf	NA	NA	NA
NV2.10599	135.929255788964	-8.06854585098448	1.07771774379942	-6.55880994040687	5.42388777608184e-11	6.850425606985e-10	2.47676907224646	0	1.56535359377997	327.606838994519	300.075737639308	319.03547138551	*	HLH	NA	Aryl hydrocarbon receptor;	Aryl hydrocarbon receptor
NV2.10624	762.145277108677	-5.17106395496144	0.223527624431486	-18.6601721624789	1.04394338258239e-77	9.98756268051285e-76	47.0586123726827	45.256365606378	67.3102045325385	1658.635238529	1624.87194921324	1654.95306616318	*	T-box	brachyury protein [Acropora millepora]	Brachyury protein homolog 1;	T, brachyury homolog (mouse)
NV2.10909	1202.62364415154	-1.59606323858164	0.0790861135884376	-7.53688873477261	4.81316661539844e-14	7.47607463932162e-13	443.341663932116	486.014013251103	513.435978759829	1383.78716961795	1284.27717850717	1347.03865696104	*	zf-C2H2	Sp5 transcription factor [Xenopus (Silurana) tropicalis]	Transcription factor Sp5;	Transcription factor
NV2.1126	1008.29706068434	-2.07434574632458	0.19520812081067	-5.50359145850584	3.72131338854404e-08	3.67382304819174e-07	339.317362897765	391.565945898662	386.642337663652	1240.08232920011	1343.0004148358	1524.28058550855	*	HMG_box	Protein polybromo-1 [Acromyrmex echinatior]	Protein polybromo-1;	Polybromo 1
NV2.11299	134.76964587806	-2.02551537678603	0.3144641943861	-3.26115149226464	0.00110960740489567	0.00633458202552718	44.5818433004362	51.1593698159056	46.960607813399	94.9657861502516	128.016655196417	107.040223514964	*	Homeobox,Homeobox_KN	Homeobox protein DBX1 [Bos mutus]	H2.0-like homeobox protein;	H2.0-like homeobox
NV2.1139	244.68084209321	-2.03035468944736	0.156760751586928	-6.57278482666628	4.93827985774512e-11	6.26506689960182e-10	108.977839178844	88.5450631429135	90.790508439238	510.00144414024	463.91356699619	499.057665478859	NA	TSC22	NA	SCL-interrupting locus protein;	Scl Tal1 interrupting locus
NV2.11403	686.970920224895	-1.82607970869349	0.215267172700802	-3.83746252774757	0.000124312196382484	0.000819260811034515	235.293061863413	316.794559244646	281.763646880394	1141.59929171096	1072.8735277241	1103.76542169976	*	HLH	NA	Hairy/enhancer-of-split related with YRPW motif protein 1;	Hairy enhancer-of-split related with YRPW motif
NV2.11520	2119.34903127336	-2.15940387327606	0.126426521164414	-9.17057483348991	4.70503302390658e-20	1.03416730305711e-18	864.392406214014	832.323593543387	896.94760923592	3162.00895366949	3215.68442135587	3599.74881548052	*	HLH	aryl hydrocarbon receptor [Megaptera novaeangliae]	Aryl hydrocarbon receptor;	NA
NV2.12031	67.3666137774345	-2.34414510291002	0.358804699653028	-3.7461747413282	0.000179551543703874	0.00115637033219887	47.0586123726827	35.4180252571654	21.9149503129195	87.9312834724552	93.9571781258106	90.3586302399049	*	Homeobox,Homeobox_KN	NA	Homeobox protein rough;	Homeobox protein
NV2.12130	211.079198737345	-2.03133364356164	0.21040433967797	-4.90167477125293	9.50230583389174e-07	8.19615264522613e-06	96.5939938176118	62.9653782349607	86.0944476578981	344.690631212024	355.275579788221	418.429964649406	NA	zf-MIZ	NA	Breast cancer type 1 susceptibility protein homolog;	Breast cancer 1, early onset
NV2.12230	52.7583265907176	4.41376547325527	0.347367877848904	9.82752203339933	8.57015202655088e-23	2.10053577640858e-21	151.082913407034	139.704432958819	148.708591409097	7.53696715478188	11.15741490244	3.47533193230403	*	zf-C2H2	Fez family zinc finger protein 1 [Trichinella spiralis]	Fez family zinc finger protein 1;	fez family zinc finger
NV2.12279	140.620317825725	-2.06181466158589	0.265976116796167	-3.99214288251159	6.54788977348658e-05	0.000450884593442727	49.5353814449292	45.256365606378	36.0031326569392	265.301243848322	244.288663127107	237.017637783135	*	Homeobox,Homeobox_KN	homeobox protein Hox-C5 [Xenopus laevis]	Homeobox protein Hox-D4a;	homeobox
NV2.12327	924.784137762356	-1.88337358359275	0.133733878186391	-6.60545850888693	3.962888889245e-11	5.06656239913545e-10	354.177977331243	442.725315714568	372.554155319632	1275.75730706608	1278.9920872376	1461.02954434062	*	Myb_DNA-binding	hypothetical protein AaeL_AAEL004358 [Aedes aegypti]	SWI/SNF complex subunit SMARCC2;	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member
NV2.12412	65.0358556304535	7.89313884608758	1.0427476159017	6.61055344646062	3.82885847707412e-11	4.90153285584847e-10	99.0707628898583	92.4803992825986	106.444044377038	0	0	0	*	Homeobox,Homeobox_KN	brain-specific homeobox protein, putative [Pediculus humanus corporis]	Homeobox protein ceh-9;	homeobox protein
