avg_log2FC	cluster	gene
6.25135024100874	1	NVE8163
4.88225313214495	1	FKB14-like2
4.66089319693299	1	ALK-like
4.50934468455108	1	NVE16867;NVE4633
3.94199757785125	1	NVE17839
3.76187674641989	1	NVE2906
3.68393107952809	1	NVE5901
3.34706875562365	1	NVE23913
3.17289113719427	1	NVE25397;NVE25069
2.29726500660276	1	CO6A4-like7;NXNL2-like;MFGM-like41;SPON1-like1
7.07831093296774	2	COCA1-like14
5.62564467694705	2	NVE4451
5.09719893491988	2	NVE15760
4.89993210436255	2	NVE20094
4.6770432734403	2	NAS13-like8-b
4.49786799341449	2	NVE3867;NVE3868
4.41908478824676	2	NVE19066
3.47823326773236	2	KCP-like5;KCP-like4
3.09596845279138	2	NV2.3605
2.67715989298816	2	NVE9066;ALG13-like
5.31687337403953	3	NVE4605
5.05160583171101	3	NAS13-like4
4.4583322574422	3	ATS16-like2
4.28931475749127	3	NVE4602
4.27515543602081	3	DD3-like1
3.93445228594914	3	DD3-like3
3.9156157713971	3	NAS4-like2;MLRP2-like9
3.48344916479965	3	NVE6749
3.36044302903885	3	ELA1-like;DYHC-like7
3.27873966426089	3	NVE10701;VWA2-like2
5.06912258765568	4	Nve-MRLC3
5.01335803250404	4	Nve-Actin2
4.48287601476148	4	Nve-MELC4
4.09572452720979	4	Nve-Tpm2
3.67236474573165	4	NVE16262;CALM-like6
3.2567984489839	4	NvMyophilin-like
3.18792397743398	4	NVE10719
3.09951741576321	4	KARG-like2
3.02303786576371	4	CALL3-like3
2.97691618791519	4	MTPN-like5;MTPN-like2-b
5.23150342193747	5	NVE20851;USOM5-like6;USOM5-like4
5.18756829500342	5	NVE15368;NVE22912;NVE18257;NVE18258
5.17041795891739	5	NVE13685
4.86589071152381	5	NVE6993;NVE23525
4.78034732611205	5	NVE9193;NVE14435
4.10188291112155	5	NV2.9204
4.05543619809482	5	NvTSP2
3.96401711451306	5	FBP3-like4-b
3.86766340288046	5	NVE18256
3.06367002646339	5	NVE14456
6.56033077259919	6	NVE6636;NVE21658
5.14238745187406	6	NVE22001
4.71245462362994	6	NVE7992
4.26488587050586	6	NVE2794
4.23356597784562	6	NVE13699-b
4.15430568764353	6	MMS19-like2;NVE23895
3.84486127800452	6	NVE6637
3.80239034297348	6	GATM-like2;NVE21659
3.65672216869717	6	OIT3-like8
3.58952130388947	6	NVE10701;VWA2-like2
5.79382202725724	7	CPP1-like1
5.30744119869001	7	HE-like2
4.94383214009579	7	CEL2B-like;SCAR5-like;DMBT1-like5;CPP1-like2;L3BPA-like2
4.82998614370134	7	NVE2633;NVE13292
4.01806598810818	7	KLKB1-like3
3.93494932012708	7	NVE5857
3.28328134893487	7	NVE21104-a
3.24082809801636	7	NVE26011
