p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.9458765058844e-69	2.13813340381699	0.602	0.077	1.45822621306815e-64	1	Nvcreb-like2
1.39963270351003e-38	1.45131363171318	0.677	0.313	3.43259920535835e-34	1	NvCREB-like
1.81342677320937e-24	0.592390354749297	0.982	0.96	4.44742916129598e-20	1	CEBPG-like
2.96533085833077e-17	1.14333548689833	0.251	0.048	7.27247393005621e-13	1	ID4-like2
3.08977276025152e-17	0.497124301337668	0.326	0.073	7.57766769451685e-13	1	NVE5857
8.96420112748076e-15	0.655240893448315	0.247	0.055	2.19847032651466e-10	1	NvEts
1.02113395721329e-12	0.807624330239174	0.768	0.593	2.50433103006559e-08	1	LARP6-like
1.47367529766225e-11	0.827366011089027	0.669	0.494	3.61418866751667e-07	1	NvKlf3-8-12-like
5.13564072300228e-11	0.444826870682106	0.241	0.067	1.25951588731631e-06	1	NVE18197
1.09950403154096e-10	0.316565685254736	0.118	0.02	2.69653363735421e-06	1	ZN474-like1
3.69541852162933e-10	0.295501787170807	0.101	0.009	9.06301392429594e-06	1	Nvmyc5
3.66862822563843e-07	0.64446818562413	0.198	0.062	0.00899731072337825	1	INSM1-like
6.79883155427878e-07	0.263836256917221	0.491	0.305	0.0166741343868687	1	NF2L2-like
6.15818526961756e-33	1.35455402032162	0.372	0.061	1.51029493737371e-28	2	INSM1-like
3.92913139607171e-31	1.50259532463759	0.294	0.018	9.63619474886586e-27	2	PTF1A-like1
1.73392676972541e-20	1.20973588126921	0.264	0.049	4.25245540275157e-16	2	ID4-like2
3.02213104041081e-20	1.18940767400279	0.572	0.272	7.41177637660751e-16	2	XBP1-like
1.6140670511253e-18	1.09662837175069	0.273	0.049	3.95849944288479e-14	2	NvREPO-NvREVPOL
1.74487190997825e-16	0.475923492289035	0.974	0.96	4.27929835922166e-12	2	CEBPG-like
5.34320781234491e-16	0.869369998786906	0.191	0.031	1.31042171597759e-11	2	NvAtonal-like
3.58004405963447e-14	0.544236538746266	0.181	0.041	8.78005805625354e-10	2	OTP-like
1.46276506290673e-13	0.79138887585835	0.219	0.052	3.58743131677876e-09	2	NvAshA
4.15055654004225e-07	0.474235833991341	0.668	0.56	0.0101792399144536	2	NvATF4
7.42243420637641e-06	0.380052607596022	0.146	0.064	0.182035198911381	2	Nvmeis-like
4.24192850691154e-05	0.423310974995481	0.174	0.076	1	2	NvSoxC
4.44642860123235e-05	0.458229736380246	0.238	0.137	1	2	NvNoc
0.000160613834232235	0.299349254282276	0.304	0.194	1	2	CRBL2-like
4.5668686916155e-33	2.17447255405091	0.281	0.004	1.1200245466187e-28	3	PAX6-like1
7.28536159234247e-32	1.42595878195663	0.283	0.017	1.78673493052199e-27	3	PTF1A-like1
